"lang"
{
"Language" "Spanish"
"Tokens"
{
// ----------------------------------------------------------------
// Chat
// ----------------------------------------------------------------

// Channels
"Channel_All"			"TODOS"
"Channel_Team"			"EQUIPO"
"Switch_All"			"(TAB para cambiar a EQUIPO)"
"Switch_Team"			"(TAB para cambiar a TODOS)"

// Chat Prefixes
"Chat_All"				"%s1: %s2"
"Chat_All_Dead"			"*MUERTO* %s1: %s2"
"Chat_All_Spec"			"*ESPEC* %s1: %s2"
"Chat_Team"				"(EQUIPO) %s1: %s2"
"Chat_Team_Loc"			"(EQUIPO) %s1 @ %s3: %s2"
"Chat_Team_Dead"		"(EQUIPO) *MUERTO* %s1: %s2"
"Chat_Team_Spec"		"(EQUIPO) *ESPEC* %s1: %s2"

"Chat_All_Dev"			"[DEV] %s1: %s2"
"Chat_All_Dev_Dead"		"*MUERTO* [DEV] %s1: %s2"
"Chat_All_Dev_Spec"		"*ESPEC* [DEV] %s1: %s2"
"Chat_Team_Dev"			"(EQUIPO) [DEV] %s1: %s2"
"Chat_Team_Dev_Loc"		"(EQUIPO) [DEV] %s1 @ %s3: %s2"
"Chat_Team_Dev_Dead"	"(EQUIPO) *MUERTO* [DEV] %s1: %s2"
"Chat_Team_Dev_Spec"	"(EQUIPO) *ESPEC* [DEV] %s1: %s2"

"Chat_Voice"			"(VOZ) "

// Chat Printouts
"TF_Joined_Game"				"%s1 se ha unido a la partida"
"TF_Left_Game"					"%s1 ha abandonado la partida (%s2)"
"TF_Joined_Team"				"%s1 se ha unido al equipo %s2"
"TF_Name_Change"				"* %s1 se ha cambiado el nombre a %s2"

"TF_Team_Balanced"				"%s1 se ha movido a %s2"
"TF_Autobalance_TeamChangeDone"	"Te han movido a %s1"

"TF_VIP_Assigned"				"¡%s1 es ahora el VIP!"

// Chat Filters
"Chat_Filter_Voice"		"Comandos de voz"

// ----------------------------------------------------------------
// General
// ----------------------------------------------------------------

// Sentry consent popup
"TF_SentryReport_Title"				"¿Enviar informes de error?"
"TF_SentryReport_Message"			"¿Quieres permitir el envío anónimo de informes de errores al equipo de Team Fortress 2 Classified?"

// VIP voting
"Vote_ChangeCivilian"				"Cambiar de VIP"
"TF_vote_change_civilian"			"¿Elegir al jugador %s1 como VIP?"
"TF_vote_change_civilian_caller"	"El jugador %s1 quiere ser el VIP."
"TF_vote_passed_change_civilian"	"El VIP será el jugador: %s1..."

// ----------------------------------------------------------------
// Teams
// ----------------------------------------------------------------

"TF_GreenTeam" 						"&5 GRN"
"TF_YellowTeam" 					"&6 YLW"

"TF_GreenTeam_Name"					"GRN"
"TF_YellowTeam_Name"				"YLW"

"TF_Other_Name"						"RIVALES"

// Disguise Kit global disguise
"Hud_Menu_Disguise_GlobalTeam"	"Disfraces globales: todos los enemigos te verán como parte de su propio equipo."

// Autobalance
"TF_teamswitch_green"				"¡Ahora estás en GRN!"
"TF_teamswitch_yellow"				"¡Ahora estás en YLW!"

// ----------------------------------------------------------------
// Classes
// ----------------------------------------------------------------

"TF_Special"	"ESPECIAL"

// Civilian
"TF_Civilian" 				"CIVIL"
"TF_Class_Name_Civilian" 	"Civil"

"ClassTips_10_Count"		"3"
"ClassTips_10_1"			"¡Da un impulso a un aliado para darle ventaja!"
"ClassTips_10_1_Icon"		"chalf_circle"
"ClassTips_10_2"			"¡Quédate cerca de tus aliados para darles resistencia al daño!"
"ClassTips_10_2_Icon"		"chalf_circle"
"ClassTips_10_3"			"¡Mantente inútil en las peleas!"
"ClassTips_10_3_Icon"		"chalf_circle"

// ----------------------------------------------------------------
// Target ID
// ----------------------------------------------------------------

// General
"TF_playerid_sameteam"					"%s1%s2"
"TF_playerid_diffteam"					"%s1Enemigo: %s2"
"TF_playerid_noteam"					"%s1"
"TF_playerid_friendlyspy_disguise"		"Disfrazado de %s2 %s1"
"TF_playerid_wpn_ammo_clip"				"%s1: Municiones: %s2 (%s3)"
"TF_playerid_wpn_ammo"					"%s1: Municiones: %s2"
"TF_playerid_wpn"						"%s1"

// Boosts
"TF_playerid_healer"					"Sanador: "
"TF_playerid_healtarget"				"Paciente: "
"TF_playerid_mediccharge"				"Supercarga: %s1 %"
"TF_playerid_mediccharge_wpn"			"Supercarga: %s1 %\n%s2"
"TF_playerid_civiliancharge"            "Impulso: %s1%"
"TF_playerid_civiliancharge_wpn"		"Impulso: %s1% (%s2)"

// Buildings
"TF_playerid_object"					"%s1, constructor: %s2"
"TF_playerid_object_diffteam"			"%s1 enemigo, constructor: %s2"
"TF_playerid_object_mini"				"Mini%s1, constructor: %s2"
"TF_playerid_object_mode"				"%s3 del %s1, constructor: %s2"
"TF_playerid_object_level"				"(Nivel %s1)"
"TF_playerid_object_upgrade"			"Mejora: %s1"
"TF_playerid_object_upgrade_level"		"( Nivel %s1 ) Mejora: %s2"
"TF_playerid_object_upgrading"			"Progreso de mejora: %s1"
"TF_playerid_object_upgrading_level"	"(Nivel %s1) Progreso de mejora: %s2"
"TF_playerid_object_building"			"Construyendo..."
"TF_playerid_object_building_level"		"( Nivel %s1 ) Construyendo..."
"TF_playerid_teleporter_no_entrance"	"¡No hay entrada!"
"TF_playerid_teleporter_no_exit"		"¡No hay salida!"
"TF_playerid_object_recharging"			"Recargando: %s1%"
"TF_playerid_object_flooded"			"Inundado"
"TF_playerid_carrying"					"Transportando: %s1"
"TF_playerid_carrying_lvl"				"Transportando: %s1 (nivel %s2)"

"TF_friendly"							"amigo"
"TF_enemy"								"enemigo"

// ----------------------------------------------------------------
// Respawning
// ----------------------------------------------------------------

"game_respawntime_now"			"Prepárate para reaparecer"
"game_respawntime_in_sec"		"Reaparición en 1 segundo"
"game_respawntime_in_secs"		"Reaparición en %s1 segundos"
"game_respawntime_stalemate"	"Sin reapariciones en Muerte Súbita"
"game_respawntime_next_round"	"Reaparecerás en la próxima ronda"
"TF_Arena_NoRespawning"			"En el modo Arena no hay reaparición"

// ----------------------------------------------------------------
// Kill feed
// ----------------------------------------------------------------

"DeathMsg_KilledVIP"			"ha asesinado al VIP"
"DeathMsg_KilledTeamVIP"		"ha asesinado al VIP de %s1"

"DeathMsg_VIP"					"VIP"
"DeathMsg_ComboKill"			"¡COMBO!"
"DeathMsg_AirshotKill"			"¡AÉREO!"

// Custom suicides
"DeathMsg_Suicide_Boioing"		"ha ascendido"
"DeathMsg_Suicide_Stomp"		"ha estirado la pata"
"DeathMsg_Suicide_Disintegrate"	"se ha convertido en cenizas"
"DeathMsg_Suicide_Decapitate"	"ha perdido la cabeza"
"DeathMsg_Suicide_Gold"			"se ha convertido en oro"
"DeathMsg_Suicide_Freeze"		"se ha convertido en hielo"
"DeathMsg_Suicide_Fizzle"		"se ha electrificado"
"DeathMsg_Suicide_Disappear"	"ha desaparecido"

// ----------------------------------------------------------------
// Voice Menu
// ----------------------------------------------------------------

"Voice_Menu_ChargeReady"				"MEDIC: Estado de Supercarga"
"Voice_Menu_ChargeReadySubtitle"		"¡Supercarga lista! (100 %)"
"Voice_Menu_ChargeAlmostReadySubtitle"	"Supercarga casi lista (%s1 %)"
"Voice_Menu_ChargeNotReadySubtitle"		"¡Supercarga no está lista! (%s1 %)"

"Voice_Menu_SingleChargeReadySubtitle"		"¡Supercarga lista! (%s1 carga)"
"Voice_Menu_MultipleChargesReadySubtitle"	"¡Supercargas listas! (%s1 cargas)"

// ----------------------------------------------------------------
// Class tips
// ----------------------------------------------------------------

// Scout
"Tip_1_Count"	"10"
// Generic
"Tip_1_1"		"Como Scout, salta de nuevo en medio del aire para cambiar de dirección, y así evitar fuego enemigo."
"Tip_1_2"		"Como Scout, capturas el doble de rápido que otras clases."
"Tip_1_3"		"Como Scout, eres más eficaz cuando estás siempre moviendo y usas tu velocidad a tu favor."
// Stock
"Tip_1_4"		"Como Scout, tu Recortada es letal a quemarropa."
"Tip_1_5"		"Como Scout, tu Pistola es genial para acabar con enemigos a cierta distancia."
"Tip_1_6"		"Como Scout, tu Bate hace menos daño que otras armas cuerpo a cuerpo, pero ataca mucho más rápido."
// Death & Taxes
"Tip_1_7"		"Como Scout, tu Pistola de Clavos es ideal para mantener a raya a enemigos dándote caza."
"Tip_1_8"		"Como Scout, destruir las armas centinela es pan comido con tu Pistola de Clavos. Úsala cuando te enfrentes a nidos difíciles."
// Fight or Flight
"Tip_1_9"		"Como Scout, tu Ladrillo puede empujar a los enemigos. ¡Haz volar a la gente!"
"Tip_1_10"		"Como Scout, tu Ladrillo puede infligir minicríticos a distancia."

// Sniper
"Tip_2_Count"	"11"
// Generic
"Tip_2_1"		"Como Sniper, apunta a la cabeza para hacer daño crítico."
